salary,prior_experience,years_in_field,years_at_rank,market_value,has_degree,has_other_qualification,employee_position,is_male,years_absent,engineering_department,finance_department,marketing_department,manager_position,executive_position,prior_experience_original
53000.0,0.0,0.0,0.0,1.1699999570846558,1,0,1,1,0.0,0,0,0,0,0,0
58000.0,1.0,0.0,0.0,1.2400000095367432,1,0,1,1,0.0,0,1,0,0,0,1
45500.0,0.0,0.0,0.0,1.2100000381469727,1,0,1,1,2.0,0,0,0,0,0,0
35782.0,0.0,2.0,1.0,0.9900000095367432,1,0,1,1,1.0,0,0,1,0,0,0
34731.0,0.0,2.0,2.0,0.9100000262260437,1,0,1,1,1.0,0,0,1,0,0,0
56000.0,1.0,0.0,0.0,1.190000057220459,1,0,1,1,0.0,1,0,0,0,0,1
61008.0,0.0,2.0,2.0,0.9200000166893005,1,0,1,1,0.0,0,1,0,0,0,0
39986.0,0.0,2.0,0.0,0.9900000095367432,1,0,1,1,0.0,0,0,1,0,0,0
36308.0,0.0,2.0,1.0,0.8500000238418579,1,0,1,1,1.0,1,0,0,0,0,0
55000.0,0.0,0.0,0.0,1.2300000190734863,1,0,1,1,1.0,1,0,0,0,0,0
55227.0,0.0,3.0,3.0,1.2300000190734863,1,0,1,1,1.0,1,0,0,0,0,0
55227.0,0.0,3.0,3.0,1.2300000190734863,1,0,1,1,1.0,0,1,0,0,0,0
33680.0,0.0,3.0,1.0,1.0499999523162842,1,0,1,1,1.0,0,0,1,0,0,0
61008.0,0.0,3.0,3.0,1.2400000095367432,1,0,1,1,1.0,0,0,1,0,0,0
37000.0,3.0,0.0,0.0,0.9900000095367432,1,0,1,1,0.0,1,0,0,0,0,3
46292.0,0.0,2.0,2.0,1.1399999856948853,1,0,1,1,0.0,0,1,0,0,0,0
33680.0,0.0,2.0,1.0,0.8500000238418579,1,0,1,1,0.0,0,0,0,0,0,0
39754.0,0.0,1.0,0.0,0.8799999952316284,1,0,1,1,2.0,0,0,0,0,0,0
34000.0,0.0,3.0,3.0,0.7300000190734863,1,0,1,1,2.0,0,0,0,0,0,0
42614.0,0.0,2.0,2.0,0.8799999952316284,1,0,1,1,0.0,0,1,0,0,0,0
55121.0,2.0,1.0,1.0,1.1799999475479126,1,0,1,1,0.0,0,1,0,0,0,2
32000.0,3.0,0.0,0.0,0.9100000262260437,1,0,1,1,0.0,0,0,0,0,0,3
34731.0,1.0,1.0,1.0,0.8500000238418579,1,0,1,1,3.0,0,0,1,0,0,1
62059.0,0.0,3.0,3.0,1.1699999570846558,1,0,1,1,0.0,1,0,0,0,0,0
61008.0,0.0,2.0,2.0,0.9200000166893005,1,0,1,1,1.0,0,1,0,0,0,0
33680.0,0.0,3.0,3.0,0.8799999952316284,1,0,1,1,1.0,0,0,1,0,0,0
35206.0,0.0,3.0,2.0,0.8500000238418579,1,0,1,1,0.0,0,0,1,0,0,0
35257.0,0.0,2.0,2.0,0.8500000238418579,1,0,1,1,1.0,0,0,1,0,0,0
35782.0,1.0,2.0,2.0,0.9900000095367432,1,0,1,1,0.0,0,0,1,0,0,1
39000.0,4.0,0.0,0.0,1.2200000286102295,1,0,1,1,0.0,0,0,1,0,0,4
41037.0,2.0,1.0,1.0,1.1299999952316284,1,0,1,1,1.0,0,0,1,0,0,2
34468.0,0.0,3.0,3.0,0.8500000238418579,1,0,1,1,0.0,0,1,0,0,0,0
31000.0,0.0,0.0,0.0,0.8799999952316284,1,0,1,1,0.0,0,0,0,0,0,0
37905.30078125,0.0,10.0,5.0,0.7799999713897705,1,0,2,1,0.0,0,0,0,1,0,0
40512.0,0.0,3.0,3.0,1.0399999618530273,1,0,1,1,0.0,0,0,0,0,0,0
37000.0,3.0,0.0,0.0,1.0,1,0,1,1,0.0,1,0,0,0,0,3
48000.0,3.0,0.0,0.0,1.1399999856948853,1,0,1,1,0.0,1,0,0,0,0,3
46292.0,1.0,2.0,2.0,1.1399999856948853,1,0,1,1,0.0,0,1,0,0,0,1
37410.0,0.0,4.0,3.0,0.8799999952316284,1,0,1,1,1.0,0,0,1,0,0,0
39986.0,1.0,3.0,3.0,0.9599999785423279,1,0,1,1,1.0,0,0,1,0,0,1
